blog_canon_link,blog_name,nomadicsamuel_Score,nomadicsamuel_Rank
http://www.ytravelblog.com/,Y Travel Blog,1125.0,1
http://aluxurytravelblog.com/,A Luxury Travel Blog,1106.0,2
http://theplanetd.com/,The Planet D,1102.0,3
http://expertvagabond.com/,The Expert Vagabond,1095.0,4
http://www.wanderingearl.com/,Wandering Earl,1093.5,5
http://www.adventurouskate.com/,Adventurous Kate,1080.0,6
http://www.legalnomads.com/,Legal Nomads,1066.5,7
http://wanderingtrader.com/,Wandering Trader,1064.0,8
http://twenty-somethingtravel.com/,Twenty Something Travel,1059.0,9
http://www.everywhereist.com/,The Everywhereist,1053.0,10
http://www.gobackpacking.com/Blog/,Go Backpacking,1049.0,11
http://migrationology.com/,Migrationology,1042.0,12
http://landlopers.com/,LandLopers,1038.0,13
http://www.uncorneredmarket.com/,Uncornered Market,1032.0,14
http://www.traveldudes.org/,Travel Dudes,1010.0,15
http://nomadicsamuel.com/,Nomadic Samuel,1007.0,16
http://solotravelerblog.com/,Solo Traveler,984.5,17
http://www.dangerous-business.com/,A Dangerous Business,974.0,18
http://www.neverendingvoyage.com/,Never Ending Voyage,955.0,19
http://greenglobaltravel.com/,Green Global Travel,953.0,20
http://thatbackpacker.com/,That Backpacker,952.0,21
http://almostfearless.com/,Almost Fearless,948.0,22
http://youngadventuress.com/,Young Adventuress,946.5,23
http://www.wanderingeducators.com/,Wandering Educators,944.0,24
http://alittleadrift.com/,A Little Adrift,938.0,25
http://thevacationgals.com/,The Vacation Gals,927.5,26
http://blog.kenkaminesky.com/,Ken Kaminesky Photography,924.0,27
http://amateurtraveler.com/,Amateur Traveler,914.5,28
http://www.baconismagic.ca/,Bacon is Magic,911.0,29
,Travels of Adam,902.0,30
http://www.ottsworld.com/,Otts World,894.0,31
http://etramping.com/,E Tramping,888.0,32
http://foxnomad.com/,Fox Nomad,875.5,33
http://www.ordinarytraveler.com/,Ordinary Traveler,872.0,34
http://www.theprofessionalhobo.com/,The Professional Hobo,861.0,35
http://www.deliciousbaby.com/,Delicious Baby,854.0,36
http://www.wildjunket.com/,Wild Junket,853.0,37
http://leaveyourdailyhell.com/,Leave Your Daily Hell,850.0,38
http://www.goseewrite.com/,Go See Write,849.0,39
http://onestep4ward.com/,One Step 4Ward,811.5,40
http://www.hecktictravels.com/,Hecktic Travels,811.0,41
http://www.theexpeditioner.com/,The Expeditioner,808.0,42
http://www.travelocafe.com/,Travel O Cafe,793.0,43
http://www.aroundtheworldin80jobs.com/,Around the World in 80 Jobs,792.0,44
http://www.brendansadventures.com/,Brendan’s Adventures,792.0,45
http://holeinthedonut.com/,Hole in the Donut Cultural Travel,788.5,46
http://www.plumdeluxe.com/,Plum Deluxe,786.0,47
http://www.thetravelingpraters.com/,The Traveling Praters,781.5,48
http://beersandbeans.com/,Beers and Beans,758.0,49
http://www.camelsandchocolate.com/,Camels & Chocolate,743.0,50
http://artofadventuring.com/,Art of Adventuring,742.0,51
http://www.thelongestwayhome.com/blog/,The Longest Way Home,731.5,52
http://travelingcanucks.com/,Traveling Canucks,729.5,53
http://globetrottergirls.com/,Globetrotter Girls,718.5,54
http://www.alexinwanderland.com/,Alex In Wanderland,713.5,55
http://myitchytravelfeet.com/,My Itchy Travel Feet,710.0,56
http://breathedreamgo.com/,Breathe Dream Go,709.5,57
http://www.nomadicnotes.com/,Nomadic Notes,706.0,58
http://www.davestravelcorner.com/,Dave’s Travel Corner,704.0,59
http://www.timetravelturtle.com/,Time Travel Turtle,703.0,60
http://www.tourist2townie.com/,Tourist 2 Townie,700.5,61
http://velvetescape.com/travel-blog/,Velvet Escape,697.5,62
http://www.neverendingfootsteps.com/,Never Ending Footsteps,696.0,63
http://www.soultravelers3.com/,Soul Travelers 3,695.5,64
http://budgettraveller.org/,Budget Traveller,695.0,65
http://www.thebarefootnomad.com/,The Barefoot Nomad,688.5,66
http://www.justonewayticket.com/,Just One Way Ticket,683.0,67
http://www.gypsynester.com/,Gypsy Nester,673.5,68
http://www.vagabondjourney.com/,Vagabond Journey,667.5,69
http://www.off-the-path.com/,Off The Path,661.0,70
http://www.cheapestdestinationsblog.com/,Cheapest Destinations Blog,658.0,71
http://francistapon.com/,Francis Tapon,656.0,72
http://www.everintransit.com/,Ever In Transit,647.0,73
http://www.nerdseyeview.com/blog/,Nerd’s Eye View,642.5,74
http://manonthelam.com,Man on the Lam,639.0,75
http://goatsontheroad.com/,Goats On The Road,638.5,76
http://www.findingtheuniverse.com/,Finding The Universe,637.0,77
http://www.bemytravelmuse.com/,Be My Travel Muse,631.0,78
http://www.insidethetravellab.com/,Inside The Travel Lab,631.0,79
http://familyonbikes.org/blog/,Family On Bikes,630.0,80
http://www.aroundtheworldl.com/,Around the World L,628.0,81
http://muza-chan.net/,Muza Chan,627.0,82
http://www.crazysexyfuntraveler.com/,Crazy Sexy Fun Traveler,622.0,83
http://www.justtravelous.com/en,Just Travelous,614.5,84
http://www.extrapackofpeanuts.com/,Extra Pack of Peanuts,614.0,85
http://virtualwayfarer.com/,Virtual Wayfarer,612.5,86
http://www.llworldtour.com/,LL World Tour,609.5,87
http://www.aswetravel.com/,As We Travel,603.0,88
http://www.women-on-the-road.com/index.html,Women On The Road,598.0,89
http://mslistologist.com/,Bucket List Journey,597.5,90
http://indietravelpodcast.com/,Indie Travel Podcast,582.5,91
http://monkeysandmountains.com/,Monkeys and Mountains,580.5,92
http://www.changesinlongitude.com/,Changes in Longitude,569.0,93
http://www.theconstantrambler.com/,The Constant Rambler,562.5,94
http://theblondeabroad.com/,The Blonde Abroad,561.0,95
http://overyonderlust.com/,Over Yonderlust,560.0,96
http://heatheronhertravels.com/,Heather on Her Travels,559.5,97
http://turkishtravelblog.com/,Turkish Travel Blog,557.0,98
http://travelwithbender.com/,Travel With Bender,553.5,99
http://www.theaussienomad.com/,The Aussie Nomad,552.5,100
http://www.pommietravels.com/,Pommie Travels,551.0,101
http://1dad1kid.com/,"1 Dad, 1 Kid, 1 Crazy Adventure",550.5,102
http://2backpackers.com/,2 Backpackers,546.5,103
http://stophavingaboringlife.com/,Stop Having a Boring Life,543.0,104
http://www.getinthehotspot.com/,Get In The Hot Spot,528.5,105
http://wonderfulwanderings.com/,Wonderful Wanderings,528.0,106
http://www.nomadicchick.com/,Nomadic Chick,527.5,107
http://runawayjuno.com/,Runaway Juno,527.0,108
http://dontstopliving.net/,Don’t Stop Living,524.0,109
http://grantourismotravels.com/,GranTourismo,524.0,110
,My Beautiful Adventures,514.5,111
http://johnnyvagabond.com/,Johnny Vagabond,508.0,112
http://www.runawayguide.com/,The Runaway Guide,508.0,113
http://www.pausethemoment.com/,Pause the Moment,505.0,114
http://www.travelyourself.ca,Travel Yourself,501.5,115
,Europe Up Close,499.0,116
http://bittenbythetravelbug.com/,Bitten By The Travel Bug,487.5,117
http://travelexperta.com/,Travel Experta,484.5,118
http://www.matt-gibson.org/,Matt Gibson,483.5,119
,Four Jandals,481.0,120
http://www.wesaidgotravel.com/,We Said Go Travel,475.5,121
http://grrrltraveler.com/,Grrrl Traveler,475.0,122
http://www.dreameurotrip.com/,Dream Euro Trip,474.0,123
http://www.fearfuladventurer.com/,Fearful Adventurer,470.0,124
http://ouroyster.com/,Our Oyster,466.5,125
http://www.waegook-tom.com/,Waegook Tom,451.5,126
http://katieaune.com/,Katie Aune,451.0,127
http://www.bohemiantrails.com/,Bohemian Trails,439.0,128
http://www.traveling-savage.com/,Traveling Savage,438.0,129
http://www.escapeartistes.com/,Escape Artistes,433.0,130
http://www.globotreks.com/,Globotreks,430.0,131
http://inspiringtravellers.com/,Inspiring Travellers,428.0,132
http://outoftownblog.com/,Out Of Town Blog,418.5,133
http://trans-americas.com/blog/,Trans-Americas Journey,417.0,134
http://www.wild-about-travel.com/,Wild About Travel,416.0,135
http://malloryontravel.com/,Mallory On Travel,415.0,136
http://solofriendly.com/,Solo Friendly,408.0,137
http://www.bruisedpassports.com/,Bruised Passports,404.5,138
http://www.bordersofadventure.com/,Borders Of Adventure,403.5,139
http://www.sophiesworld.net/,Sophie’s World,403.0,140
http://www.thetraveltart.com,The Travel Tart,401.0,141
http://savoirfaireabroad.com/,Savoir Faire Abroad,399.0,142
http://breakawaybackpacker.com/,Breakaway Backpacker,396.5,143
http://www.travelingted.com,Traveling Ted,385.0,144
http://downtowntraveler.com/,Downtown Traveler,369.0,145
http://www.myseveralworlds.com/,My Several Worlds,368.5,146
http://travelingwithsweeney.com/,Traveling With Sweeney,360.5,147
http://www.dtravelsround.com/,D Travels `Round,360.0,148
http://www.aussieontheroad.com/,Aussie on the Road,352.0,149
http://www.theroadforks.com/,The Road Forks,351.5,150
http://ccfoodtravel.com,CC Food Travel,346.0,151
http://www.travmonkey.com/,TravMonkey,337.5,152
http://www.adventuresofagoodman.com/,Adventures of a Goodman,337.0,153
http://flipnomad.com,Flip Nomad,332.0,154
http://www.raisingmiro.com/,Raising Miro,331.5,155
http://caroundtheworld.com/,Chris Around The World,330.0,156
http://kaleidoscopicwandering.com/,Kaleidoscopic Wandering,329.5,157
http://lifecruiser.com/,Life Cruiser,306.5,158
http://www.501places.com/,501 Places,306.0,159
http://gqtrippin.com/,GQ Trippin,303.5,160
,What’s Dave Doing?,298.5,161
http://butterflydiary.com/,Butterfly Diary,297.5,162
http://brookevstheworld.com/,Brooke Vs The World,297.0,163
http://www.travelwithamate.com/,Travel with a Mate,294.5,164
http://1000fights.com/,1000 Fights,271.0,165
http://www.canvas-of-light.com/,Canvas of Light,269.0,166
http://suzyguese.com/,Suzy Guese,255.5,167
http://captainandclark.com/,Captain and Clark,245.5,168
http://positiveworldtravel.com/,Positive World Travel,243.5,169
http://www.thetravelchica.com/,The Travel Chica,242.5,170
http://www.bucketlistpublications.com/,Bucket List Publications,231.5,171
http://www.novacationrequired.com/,No Vacation Required,231.5,172
http://www.chasingtheunexpected.com/,Chasing the Unexpected,206.5,173
http://www.maitravelsite.com/,Mai Travel Site,204.0,174
http://mikesowden.org/feveredmutterings/,Fevered Mutterings,201.5,175
http://www.mikesroadtrip.com/,Mike’s Road Trip,201.0,176
,Travel Reportage,201.0,177
http://www.idreamedofthis.com/,I Dreamed Of This,199.0,178
